Feature_Selection,Optimizer,Loss_Function,Activation_Function,Total_Train_Time,Last_Train_Loss,Last_Val_Loss,Cost_Benefit,Pareto
GradientBoosting_30pct_03,AdamW,SmoothL1Loss,PReLU,1277.0,6743168.5,7265525.0,5689.526233359436,False
GradientBoosting_30pct_03,AdamW,MSE,ReLU,1178.0,869584647225344.0,1737176429625344.0,1474682877440.8694,False
GradientBoosting_30pct_03,Adam,MAE,PReLU,1140.0,6860457.0,7313295.5,6415.17149122807,True
GradientBoosting_30pct_03,Adam,MAE,ELU,1136.0,11396408.0,11085945.0,9758.75440140845,False
GradientBoosting_30pct_03,Adam,MAE,ReLU,1139.0,9563927.0,10072334.0,8843.137840210711,False
GradientBoosting_30pct_03,Adam,SmoothL1Loss,ReLU,1230.0,9660828.0,10123466.0,8230.460162601627,False
GradientBoosting_30pct_03,AdamW,MSE,ELU,1170.0,680734801002496.0,1408963350364160.0,1204242179798.4272,False
GradientBoosting_30pct_03,Adam,SmoothL1Loss,LeakyReLU,1161.0,9076776.0,9835289.0,8471.394487510766,False
GradientBoosting_30pct_03,AdamW,SmoothL1Loss,LeakyReLU,1220.0,9133604.0,9806253.0,8037.912295081967,False
GradientBoosting_30pct_03,Adam,MSE,ReLU,1156.0,858737505992704.0,1774625189003264.0,1535142897061.647,False
GradientBoosting_30pct_03,Adam,SmoothL1Loss,PReLU,1177.0,6816288.5,7335102.5,6232.032710280374,False
GradientBoosting_30pct_03,AdamW,MAE,LeakyReLU,1248.0,9115626.0,9942400.0,7966.666666666667,False
GradientBoosting_30pct_03,Adam,MSE,PReLU,1163.0,124399231434752.0,708650746249216.0,609329962381.0972,False
GradientBoosting_30pct_03,AdamW,MAE,PReLU,1163.0,6865209.0,7253843.0,6237.182287188306,True
GradientBoosting_30pct_03,Adam,MSE,LeakyReLU,1167.0,832585651453952.0,1765181495443456.0,1512580544510.245,False
GradientBoosting_30pct_03,AdamW,MSE,LeakyReLU,1179.0,876527663185920.0,1730236433563648.0,1467545745176.9702,False
GradientBoosting_30pct_03,AdamW,MAE,ELU,1159.0,11722780.0,11270050.0,9723.943054357205,False
GradientBoosting_30pct_03,AdamW,MSE,PReLU,1173.0,114524623470592.0,680059148959744.0,579760570298.162,False
GradientBoosting_30pct_03,AdamW,SmoothL1Loss,ReLU,1221.0,9387103.0,9893790.0,8103.022113022113,False
GradientBoosting_30pct_03,AdamW,SmoothL1Loss,ELU,790.0,12921179.0,12533217.0,15864.83164556962,False
GradientBoosting_30pct_03,Adam,MAE,LeakyReLU,1145.0,9110582.0,9861275.0,8612.467248908297,False
GradientBoosting_30pct_03,Adam,MSE,ELU,1217.0,654933657387008.0,1366188697321472.0,1122587261562.4255,False
GradientBoosting_30pct_03,Adam,SmoothL1Loss,ELU,873.0,12619503.0,12207938.0,13983.892325315006,False
GradientBoosting_30pct_03,AdamW,MAE,ReLU,1171.0,9519550.0,10017351.0,8554.526900085397,False
GradientBoosting_50pct_03,AdamW,MAE,ReLU,2114.0,6944789.5,9108849.0,4308.821665089877,False
GradientBoosting_50pct_03,AdamW,MSE,ReLU,2203.0,171193705431040.0,1507259850948608.0,684185134338.9052,False
GradientBoosting_50pct_03,Adam,MAE,PReLU,2087.0,5531086.0,6882549.5,3297.8195975083854,True
GradientBoosting_50pct_03,Adam,MAE,ELU,2085.0,9503603.0,9635113.0,4621.1573141486815,False
GradientBoosting_50pct_03,Adam,MAE,ReLU,2081.0,6998023.5,9205125.0,4423.414223930802,False
GradientBoosting_50pct_03,Adam,SmoothL1Loss,ReLU,2272.0,7110416.0,9285899.0,4087.1034330985917,False
GradientBoosting_50pct_03,AdamW,MSE,ELU,2156.0,305463879008256.0,1215819879022592.0,563923877097.6771,False
GradientBoosting_50pct_03,Adam,SmoothL1Loss,LeakyReLU,2400.0,6576106.5,9055485.0,3773.11875,False
GradientBoosting_50pct_03,AdamW,SmoothL1Loss,LeakyReLU,2414.0,6543636.5,8993751.0,3725.6632145816075,False
GradientBoosting_50pct_03,Adam,MSE,ReLU,2166.0,223734292021248.0,1636406698967040.0,755497090935.8448,False
