Feature_Selection,Optimizer,Loss_Function,Activation_Function,MAPE(%)
GradientBoosting_50pct_03,AdamW,MSE,ReLU,14.887658
GradientBoosting_50pct_03,AdamW,MAE,LeakyReLU,9.213895
GradientBoosting_50pct_03,AdamW,MSE,PReLU,11.559078
XGBoost_70pct_03,AdamW,MAE,ELU,9.233049
XGBoost_70pct_03,Adam,MAE,ReLU,9.938976
XGBoost_70pct_03,AdamW,MSE,LeakyReLU,14.918865
XGBoost_70pct_03,Adam,SmoothL1Loss,ReLU,10.022381
XGBoost_70pct_03,Adam,SmoothL1Loss,LeakyReLU,9.782395
XGBoost_70pct_03,Adam,MSE,PReLU,11.702628
XGBoost_70pct_03,AdamW,SmoothL1Loss,ELU,9.700504
XGBoost_70pct_03,Adam,MAE,PReLU,8.859172
XGBoost_70pct_03,Adam,MSE,ReLU,15.029849
XGBoost_70pct_03,AdamW,SmoothL1Loss,LeakyReLU,9.7218895
XGBoost_70pct_03,AdamW,SmoothL1Loss,PReLU,8.583466
XGBoost_70pct_03,AdamW,MSE,ELU,16.785183
XGBoost_70pct_03,Adam,MSE,ELU,17.156652
XGBoost_70pct_03,Adam,MAE,LeakyReLU,9.8968525
XGBoost_70pct_03,Adam,MSE,LeakyReLU,14.441551
XGBoost_70pct_03,AdamW,MAE,PReLU,8.531037
XGBoost_70pct_03,Adam,MAE,ELU,9.233184
XGBoost_70pct_03,AdamW,SmoothL1Loss,ReLU,9.787724
XGBoost_70pct_03,Adam,SmoothL1Loss,ELU,9.223175
XGBoost_70pct_03,AdamW,MAE,ReLU,9.817205
XGBoost_70pct_03,Adam,SmoothL1Loss,PReLU,8.71181
XGBoost_70pct_03,AdamW,MSE,ReLU,14.193689
XGBoost_70pct_03,AdamW,MAE,LeakyReLU,9.625703
XGBoost_70pct_03,AdamW,MSE,PReLU,11.434964
allFeatures_02,Adam,MAE,ReLU,10.950986
allFeatures_02,Adam,MSE,PReLU,14.617024
allFeatures_02,Adam,MAE,PReLU,10.010743
allFeatures_02,Adam,MSE,ELU,15.833047
allFeatures_02,Adam,MAE,LeakyReLU,10.586167
allFeatures_02,Adam,MAE,ELU,8.626868
allFeatures_03,AdamW,MAE,ELU,8.549176
allFeatures_03,Adam,MAE,ReLU,10.971718
allFeatures_03,AdamW,MSE,LeakyReLU,16.875345
allFeatures_03,Adam,SmoothL1Loss,ReLU,10.807523
allFeatures_03,Adam,SmoothL1Loss,LeakyReLU,10.474701
allFeatures_03,Adam,MSE,PReLU,16.104706
allFeatures_03,AdamW,SmoothL1Loss,ELU,8.643394
allFeatures_03,Adam,MAE,PReLU,9.941125
allFeatures_03,Adam,MSE,ReLU,15.981962
allFeatures_03,AdamW,SmoothL1Loss,LeakyReLU,10.481806
allFeatures_03,AdamW,SmoothL1Loss,PReLU,9.695838
allFeatures_03,AdamW,MSE,ELU,15.7338295
allFeatures_03,Adam,MSE,ELU,15.773837
allFeatures_03,Adam,MAE,LeakyReLU,10.867928
allFeatures_03,Adam,MSE,LeakyReLU,15.35796
allFeatures_03,AdamW,MAE,PReLU,9.712861
allFeatures_03,Adam,MAE,ELU,8.600469
allFeatures_03,AdamW,SmoothL1Loss,ReLU,11.002249
allFeatures_03,Adam,SmoothL1Loss,ELU,9.089597
allFeatures_03,AdamW,MAE,ReLU,10.938352
allFeatures_03,Adam,SmoothL1Loss,PReLU,9.978531
allFeatures_03,AdamW,MSE,ReLU,15.387975
allFeatures_03,AdamW,MAE,LeakyReLU,10.626908
allFeatures_03,AdamW,MSE,PReLU,16.69441
GradientBoosting_70pct_03,AdamW,MAE,ELU,9.321299
GradientBoosting_70pct_03,Adam,MAE,ReLU,10.089197
GradientBoosting_70pct_03,AdamW,MSE,LeakyReLU,14.213939
GradientBoosting_70pct_03,Adam,SmoothL1Loss,ReLU,9.988018
GradientBoosting_70pct_03,Adam,SmoothL1Loss,LeakyReLU,9.942545
GradientBoosting_70pct_03,Adam,MSE,PReLU,12.394592
GradientBoosting_70pct_03,AdamW,SmoothL1Loss,ELU,9.728852
GradientBoosting_70pct_03,Adam,MAE,PReLU,9.175725
GradientBoosting_70pct_03,Adam,MSE,ReLU,14.917459
GradientBoosting_70pct_03,AdamW,SmoothL1Loss,LeakyReLU,9.634878
GradientBoosting_70pct_03,AdamW,SmoothL1Loss,PReLU,8.715279
GradientBoosting_70pct_03,AdamW,MSE,ELU,17.571913
GradientBoosting_70pct_03,Adam,MSE,ELU,17.041878
GradientBoosting_70pct_03,Adam,MAE,LeakyReLU,9.8993025
GradientBoosting_70pct_03,Adam,MSE,LeakyReLU,15.061701
GradientBoosting_70pct_03,AdamW,MAE,PReLU,8.787475
GradientBoosting_70pct_03,Adam,MAE,ELU,10.103996
GradientBoosting_70pct_03,AdamW,SmoothL1Loss,ReLU,9.736598
GradientBoosting_70pct_03,Adam,SmoothL1Loss,ELU,9.096018
GradientBoosting_70pct_03,AdamW,MAE,ReLU,10.080554
GradientBoosting_70pct_03,Adam,SmoothL1Loss,PReLU,8.839072
GradientBoosting_70pct_03,AdamW,MSE,ReLU,14.174278
GradientBoosting_70pct_03,AdamW,MAE,LeakyReLU,9.593376
GradientBoosting_70pct_03,AdamW,MSE,PReLU,11.163846
DecisionTree_70pct_03,AdamW,MAE,ELU,10.267676
DecisionTree_70pct_03,Adam,MAE,ReLU,10.42951
DecisionTree_70pct_03,AdamW,MSE,LeakyReLU,15.24625
DecisionTree_70pct_03,Adam,SmoothL1Loss,ReLU,10.536856
DecisionTree_70pct_03,Adam,SmoothL1Loss,LeakyReLU,10.315036
DecisionTree_70pct_03,Adam,MSE,PReLU,12.315295
DecisionTree_70pct_03,AdamW,SmoothL1Loss,ELU,10.513088
DecisionTree_70pct_03,Adam,MAE,PReLU,9.289478
